channel,Chemoresistant,Control,chemo_minus_control
342,0.3607196986496363,1.0334275778395032,-0.6727078791898669
BODIPY,0.7161886832446321,1.2019214529234796,-0.4857327696788475
TMRM,0.7534200178728883,1.158155785239785,-0.40473576736689676
