file,group,time,channel,n_cells,mean_cell_intensity,median_cell_intensity,mean_nonzero_pixels,fold_change
TAMO_p1,Chemoresistant,1,342,450,95.85150146484375,72.16775512695312,9892.055555555555,0.7419865300258478
TAMO_p1,Chemoresistant,1,BODIPY,450,14.930099487304688,13.551749229431152,8874.722222222223,0.9967359604181959
TAMO_p1,Chemoresistant,1,pHrodo,450,17.824899673461914,16.406557083129883,8236.777777777777,0.9272512036906765
TAMO_p1,Chemoresistant,1,TMRM,450,18.922321319580078,18.861513137817383,8402.444444444445,0.8574338243962374
TAMO_p1,Chemoresistant,1,Lyso,450,11.703699111938477,10.532692909240723,7287.111111111111,0.8394502027176034
TAMO_p1,Chemoresistant,1,Tubulin,450,22.8647518157959,23.636323928833008,14577.833333333334,1.0709271127795785
TAMO_p1,Chemoresistant,2,LipiBlue,700,17.54792594909668,16.991193771362305,3967.6785714285716,0.9079228946661781
TAMO_p1,Chemoresistant,2,342,700,91.97557830810547,74.83895111083984,5384.178571428572,0.7119830065571009
TAMO_p1,Chemoresistant,2,BODIPY,700,18.452346801757812,17.161876678466797,4586.964285714285,1.2318817853195703
TAMO_p1,Chemoresistant,2,pHrodo,700,21.79279327392578,19.136192321777344,4083.8571428571427,1.133661011574441
TAMO_p1,Chemoresistant,2,TMRM,700,21.10719871520996,21.94923210144043,4400.357142857143,0.9564379449548135
TAMO_p1,Chemoresistant,2,Lyso,700,15.662614822387695,12.527557373046875,3745.535714285714,1.1234042384368337
TAMO_p1,Chemoresistant,2,Tubulin,700,28.946674346923828,28.03854751586914,7513.642857142857,1.3557889730299157
TAMO_p1,Chemoresistant,3,LipiBlue,650,18.8455867767334,16.460735321044922,4472.615384615385,0.9750633634794448
TAMO_p1,Chemoresistant,3,342,650,108.22538757324219,74.8887939453125,5584.0,0.8377727897734125
TAMO_p1,Chemoresistant,3,BODIPY,650,19.524404525756836,20.078733444213867,5252.7307692307695,1.3034525398254277
TAMO_p1,Chemoresistant,3,pHrodo,650,23.28841209411621,21.29916763305664,4603.2307692307695,1.2114630961128872
TAMO_p1,Chemoresistant,3,TMRM,650,23.87999725341797,21.765491485595703,5189.384615384615,1.0820827437478588
TAMO_p1,Chemoresistant,3,Lyso,650,15.938823699951172,12.929370880126953,4109.307692307692,1.1432153764407615
TAMO_p1,Chemoresistant,3,Tubulin,650,30.77386474609375,27.08179473876953,8523.615384615385,1.441369947380566
TAMO_p1,Chemoresistant,4,LipiBlue,525,17.04473876953125,15.682238578796387,6145.142857142857,0.8818881848118507
TAMO_p1,Chemoresistant,4,342,525,106.1888656616211,64.02974700927734,7187.476190476191,0.8220080724405331
TAMO_p1,Chemoresistant,4,BODIPY,525,14.834153175354004,13.877564430236816,7300.714285714285,0.9903305684466241
TAMO_p1,Chemoresistant,4,pHrodo,525,15.978846549987793,15.668350219726562,6279.952380952381,0.8312195282155651
TAMO_p1,Chemoresistant,4,TMRM,525,18.77716827392578,19.22043228149414,7044.0,0.8508564532082035
TAMO_p1,Chemoresistant,4,Lyso,525,10.2085542678833,10.173538208007812,5609.428571428572,0.7322106342333093
TAMO_p1,Chemoresistant,4,Tubulin,525,30.14622688293457,28.21820640563965,11624.809523809523,1.4119729781906423
TAMO_p1,Chemoresistant,5,LipiBlue,550,18.232261657714844,17.05872344970703,5212.0,0.9433301592793513
TAMO_p1,Chemoresistant,5,342,550,91.2040786743164,77.61248016357422,6457.772727272727,0.7060108274316511
TAMO_p1,Chemoresistant,5,BODIPY,550,16.221811294555664,16.419601440429688,6235.136363636364,1.0829708585766846
TAMO_p1,Chemoresistant,5,pHrodo,550,16.692832946777344,16.721355438232422,5426.363636363636,0.8683610974793488
