channel,group,mean,std,count
342,Chemoresistant,0.3607196986496363,0.16117936622396362,2
342,Control,1.0334275778395032,0.2745906622267576,5
BODIPY,Chemoresistant,0.7161886832446321,0.10079945387978043,2
BODIPY,Control,1.2019214529234796,0.20227914697255286,5
TMRM,Chemoresistant,0.7534200178728883,0.1833067410181532,2
TMRM,Control,1.158155785239785,0.1707028495681824,5
