channel,gap_t6,gap_t10,gap_t14,direction_score,abs_gap_t6
342,-0.6727078791898669,-0.31029083816136954,-0.09760471924816261,3,0.6727078791898669
BODIPY,-0.4857327696788475,-0.03351515227713808,0.18240333369535544,2,0.4857327696788475
TMRM,-0.40473576736689676,0.0635320650235478,0.15779138316428598,1,0.40473576736689676
