file,group,channel,final_fold_change,min_fold_change,max_fold_change,range_fold_change,auc_fold_change,slope,r_squared
TAMO-MB231,Chemoresistant,LipiBlue,0.720378418320649,0.6783236191534748,1.0,0.32167638084652517,4.696131006364203,-0.042630878779357465,0.7296795868916691
TAMO-MB231,Chemoresistant,342,0.474690721493951,0.4436465142803693,1.0,0.5563534857196307,3.9475697309880466,-0.07587434892563974,0.7944153211106173
TAMO-MB231,Chemoresistant,BODIPY,0.7874646606229255,0.6311678622395284,1.018740889015175,0.38757302677564665,5.0846521144892645,-0.04451742177148271,0.5031678234867016
TAMO-MB231,Chemoresistant,pHrodo,0.7578905197932585,0.6629836774721495,1.0,0.3370163225278505,4.926733837006381,-0.042614706217586874,0.5811694232429576
TAMO-MB231,Chemoresistant,TMRM,0.8830374574840307,0.8153474897640418,1.0,0.1846525102359582,5.325291659605391,-0.01916199505775193,0.3832982899858755
TAMO-MB231,Chemoresistant,Lyso,0.837999450620748,0.7890032474043516,1.0,0.21099675259564843,5.298822609484039,-0.028284629490398984,0.5712543523316551
TAMO-MB231,Chemoresistant,Tubulin,1.173269172666883,0.8471864399561818,1.173269172666883,0.3260827327107011,5.949077028602279,0.032200736992606185,0.4137468006767875
TAMO_p1,Chemoresistant,LipiBlue,0.5363100887251543,0.5363100887251543,1.0,0.4636899112748457,5.345694841009304,-0.045325518354998776,0.39355500378255254
TAMO_p1,Chemoresistant,342,0.24674867580532167,0.24674867580532167,1.0,0.7532513241946783,4.4431355641312065,-0.079345725424607,0.5386142531363457
TAMO_p1,Chemoresistant,BODIPY,0.6449127058663388,0.6449127058663388,1.3034525398254277,0.658539833959089,6.427828065519671,-0.04051226081989115,0.17021623959776713
TAMO_p1,Chemoresistant,pHrodo,0.7372807554551799,0.7372807554551799,1.2114630961128872,0.47418234065770726,5.840596314800509,-0.04315640819342827,0.3056213797122462
TAMO_p1,Chemoresistant,TMRM,0.6238025782617459,0.6238025782617459,1.0820827437478588,0.45828016548611294,5.50045642817855,-0.0380554664383114,0.3153881400917542
TAMO_p1,Chemoresistant,Lyso,0.5977680816495834,0.5977680816495834,1.1432153764407615,0.5454472947911781,5.478449181605313,-0.05693644238521262,0.36958016268355376
TAMO_p1,Chemoresistant,Tubulin,1.34611278967333,1.0,1.441369947380566,0.4413699473805659,7.8792525094085795,0.06446222696442797,0.5941643845033819
TAMO_p2,Chemoresistant,LipiBlue,0.020232951113748922,0.007419209084860204,1.0,0.9925807909151398,0.5643344942657788,-0.10460311889314891,0.3664195839808852
TAMO_p2,Chemoresistant,342,0.0405609799814208,0.03231590624941811,1.0,0.9676840937505818,0.8231102690557555,-0.10010284331016878,0.36614989185426566
TAMO_p2,Chemoresistant,BODIPY,0.02543195148313466,0.017011084850134302,1.0,0.9829889151498657,0.651854222101219,-0.1028987437406165,0.3654366807995916
TAMO_p2,Chemoresistant,pHrodo,0.05747528935979736,0.009385266866902199,1.0,0.9906147331330978,0.6469358915328505,-0.09758570444163074,0.32907555978183634
TAMO_p2,Chemoresistant,TMRM,0.04994777097888571,0.028514357284185297,1.0,0.9714856427158147,0.8023297758691981,-0.09538012119331411,0.33018091028596797
TAMO_p2,Chemoresistant,Lyso,0.020835474132804278,0.001591604534913675,1.0,0.9984083954650863,0.524813143881788,-0.10460467285893861,0.36155786239055054
TAMO_p2,Chemoresistant,Tubulin,0.1461538318879944,0.027322984463404087,1.0,0.9726770155365959,0.8129643625192097,-0.0896001674395718,0.295755288401967
CNTL-MB231,Control,LipiBlue,0.9204213897877475,0.6922358361213184,1.0,0.30776416387868155,4.951082411012998,-0.015464105115528365,0.09629080158534936
CNTL-MB231,Control,342,0.9127621152883731,0.5689743622219106,1.0,0.43102563777808944,4.612557225471408,-0.014171998702646134,0.04342557585280122
CNTL-MB231,Control,BODIPY,0.9093775455466593,0.7704680163444791,1.0,0.22953198365552085,5.212653643401612,-0.016920904987071807,0.23287891236883695
CNTL-MB231,Control,pHrodo,0.8766676994469417,0.7810586980324303,1.0,0.21894130196756967,5.243994192114284,-0.018408553803474958,0.3207640688452622
CNTL-MB231,Control,TMRM,0.9445985341166124,0.7985899837358703,1.0,0.2014100162641297,5.295906142053948,-0.011116987196149376,0.11422675224971314
CNTL-MB231,Control,Lyso,0.8709516823198366,0.7624035059046215,1.0,0.23759649409537853,5.223368864951976,-0.021834805438981048,0.4205007708242717
CNTL-MB231,Control,Tubulin,1.0349771768565001,0.8173227195077584,1.0349771768565001,0.21765445734874178,5.278310808929381,0.008056286639023365,0.04234763202238102
CNTL_75uM_p1,Control,LipiBlue,0.9657815387472883,0.6819584650857192,1.0,0.3180415349142808,4.865367351332701,0.013997783656425126,0.06178097379534777
CNTL_75uM_p1,Control,342,1.184722727556468,0.5934993983156087,1.184722727556468,0.5912233292408593,4.63756020398367,0.03588307148986277,0.1352011487918453
CNTL_75uM_p1,Control,BODIPY,1.3161512146128886,1.0,1.9850597456888082,0.9850597456888082,8.573458287250208,0.08194702058297339,0.3617606854384458
CNTL_75uM_p1,Control,pHrodo,1.1354050760130177,1.0,1.6264330593596545,0.6264330593596545,8.67398728711205,-0.005923076452015547,0.0028207911753200003
CNTL_75uM_p1,Control,TMRM,1.2062652073716416,1.0,1.4290937477965855,0.4290937477965855,7.5106431168444185,0.01778596411202903,0.06178964346455691
CNTL_75uM_p1,Control,Lyso,1.083449221490627,1.0,1.283531283939892,0.283531283939892,6.9051948638914045,0.0027428073090018062,0.003759039393512581
CNTL_75uM_p1,Control,Tubulin,1.3669795837413588,0.9869365793052021,1.3669795837413588,0.3800430044361567,7.286096579512813,0.062122879006936096,0.7241123889248411
CNTL_75uM_p2,Control,LipiBlue,1.0972345489626936,0.8792786260969139,1.0972345489626936,0.2179559228657797,5.803384508631376,0.007432178083627236,0.03914912763533242
CNTL_75uM_p2,Control,342,1.4157302549870283,0.6569043271743693,1.4157302549870283,0.758825927812659,5.60025177157472,0.04628345027245406,0.14341835699933067
CNTL_75uM_p2,Control,BODIPY,1.4419255196650547,0.9766339330676578,1.4419255196650547,0.4652915865973969,6.661210905765429,0.05133926630002946,0.4466323025512426
CNTL_75uM_p2,Control,pHrodo,2.336901467882161,1.0,2.336901467882161,1.3369014678821611,8.495594933447581,0.13784312438570467,0.2439504763886396
CNTL_75uM_p2,Control,TMRM,1.4124904390474065,0.8457097638616622,1.4124904390474065,0.5667806751857443,6.07815416222781,0.041439688657147304,0.2027378640593683
CNTL_75uM_p2,Control,Lyso,1.2859759779673272,0.9063638344384405,1.2859759779673272,0.3796121435288867,6.110814224053945,0.039140637880041185,0.3576288932021712
CNTL_75uM_p2,Control,Tubulin,1.2496227610103996,0.956160297208554,1.2496227610103996,0.2934624638018456,6.196616413768953,0.022602028280391956,0.24167357778023393
CNTL_75uM_p3,Control,LipiBlue,0.8879437725805461,0.8879437725805461,1.4531567099788831,0.565212937398337,6.820841008475014,0.028404202529801303,0.08858539816811216
CNTL_75uM_p3,Control,342,0.6990203052445191,0.6990203052445191,1.8256219580931266,1.1266016528486076,7.191521713296686,0.03459624873889663,0.03986875233440385
CNTL_75uM_p3,Control,BODIPY,1.22367051186881,1.0,2.0615418314622707,1.0615418314622707,8.54107463151654,0.12952289445863238,0.35776955528934484
CNTL_75uM_p3,Control,pHrodo,1.3910070207714824,1.0,1.436661205123353,0.43666120512335294,7.563158941864552,0.07768760100044006,0.8665305780886592
CNTL_75uM_p3,Control,TMRM,1.113919081852008,0.9829048228588299,1.3473790529366287,0.3644742300777989,7.004159688326411,0.04615683007028329,0.470750176290077
CNTL_75uM_p3,Control,Lyso,1.1203173796801236,1.0,1.5052680779014378,0.5052680779014378,7.299713500720909,0.05780935326631229,0.4104643832405655
CNTL_75uM_p3,Control,Tubulin,1.533972780822766,1.0,1.533972780822766,0.5339727808227659,7.385400867980324,0.07913690958052182,0.799775959934174
CNTL_75uM_p4,Control,LipiBlue,1.0790273716178311,0.9623996375644567,1.1809921061107886,0.21859246854633196,6.554516285123793,-0.004355513267834601,0.013033698186739889
CNTL_75uM_p4,Control,342,0.9549024861211274,0.7022482749679653,1.2534446057767183,0.5511963308087531,5.829960813690109,-0.043194899950281786,0.3098234303221282
CNTL_75uM_p4,Control,BODIPY,1.1184824729239857,1.0,1.2231075151039972,0.22310751510399718,6.722373460280233,0.003282645181753109,0.007290604692067702
CNTL_75uM_p4,Control,pHrodo,1.1799715200513778,1.0,1.2222995316282834,0.22229953162828342,6.901501494698662,0.011832662719707255,0.10016559871802132
CNTL_75uM_p4,Control,TMRM,1.1135056638112573,1.0,1.2725893964902222,0.2725893964902222,7.250945463062587,0.0163843470529617,0.12491247555081447
CNTL_75uM_p4,Control,Lyso,1.100891691590607,1.0,1.1832265848975745,0.18322658489757448,6.862505648877457,0.01115870364792024,0.14125568672601865
CNTL_75uM_p4,Control,Tubulin,1.2738697389214781,1.0,1.4380961981940446,0.43809619819404455,7.644342651495991,0.04172271061764831,0.4321777741740058
